Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_02_Mandiri_kartu_kredit_cicilan,IE 10.0,,2018-10-12 16:10:56,2018-10-12 16:11:22,25.418s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-12 16:10:57,2018-10-12 16:11:09,12.587s,PASSED
openBrowser,IE 10.0,,2018-10-12 16:10:57,2018-10-12 16:11:05,8.206s,PASSED
maximizeWindow,IE 10.0,,2018-10-12 16:11:05,2018-10-12 16:11:07,1.281s,PASSED
setText,IE 10.0,,2018-10-12 16:11:07,2018-10-12 16:11:07,0.355s,PASSED
setText,IE 10.0,,2018-10-12 16:11:07,2018-10-12 16:11:07,0.281s,PASSED
delay,IE 10.0,,2018-10-12 16:11:07,2018-10-12 16:11:08,1.050s,PASSED
click,IE 10.0,,2018-10-12 16:11:08,2018-10-12 16:11:09,1.052s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_Digital_5_barang,IE 10.0,,2018-10-12 16:11:09,2018-10-12 16:11:20,10.441s,PASSED
navigateToUrl,IE 10.0,,2018-10-12 16:11:10,2018-10-12 16:11:15,5.682s,PASSED
delay,IE 10.0,,2018-10-12 16:11:15,2018-10-12 16:11:17,2.007s,PASSED
click,IE 10.0,,2018-10-12 16:11:17,2018-10-12 16:11:18,0.220s,PASSED
click,IE 10.0,,2018-10-12 16:11:18,2018-10-12 16:11:18,0.134s,PASSED
click,IE 10.0,,2018-10-12 16:11:18,2018-10-12 16:11:18,0.077s,PASSED
click,IE 10.0,,2018-10-12 16:11:18,2018-10-12 16:11:18,0.099s,PASSED
click,IE 10.0,,2018-10-12 16:11:18,2018-10-12 16:11:18,0.086s,PASSED
click,IE 10.0,,2018-10-12 16:11:18,2018-10-12 16:11:20,1.720s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_02_Digital_Mandiri_Kartu_kredit_cicilan,IE 10.0,,2018-10-12 16:11:20,2018-10-12 16:11:21,1.073s,PASSED
click,IE 10.0,,2018-10-12 16:11:20,2018-10-12 16:11:20,0.159s,PASSED
click,IE 10.0,,2018-10-12 16:11:20,2018-10-12 16:11:21,0.341s,PASSED
selectOptionByIndex,IE 10.0,,2018-10-12 16:11:21,2018-10-12 16:11:21,0.246s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-12 16:11:21,2018-10-12 16:11:21,0.056s,PASSED
