Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_04_Mandiri_e-cash,IE 10.0,,2018-10-11 11:21:44,2018-10-11 11:22:13,28.438s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 11:21:45,2018-10-11 11:21:55,10.492s,PASSED
openBrowser,IE 10.0,,2018-10-11 11:21:45,2018-10-11 11:21:52,7.097s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 11:21:52,2018-10-11 11:21:54,1.240s,PASSED
setText,IE 10.0,,2018-10-11 11:21:54,2018-10-11 11:21:54,0.334s,PASSED
setText,IE 10.0,,2018-10-11 11:21:54,2018-10-11 11:21:54,0.204s,PASSED
click,IE 10.0,,2018-10-11 11:21:54,2018-10-11 11:21:55,1.289s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 11:21:55,2018-10-11 11:22:06,10.375s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 11:21:56,2018-10-11 11:22:02,6.084s,PASSED
delay,IE 10.0,,2018-10-11 11:22:02,2018-10-11 11:22:04,2.042s,PASSED
click,IE 10.0,,2018-10-11 11:22:04,2018-10-11 11:22:04,0.227s,PASSED
click,IE 10.0,,2018-10-11 11:22:04,2018-10-11 11:22:06,1.646s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_04_Mandiri_E-cash,IE 10.0,,2018-10-11 11:22:06,2018-10-11 11:22:07,0.727s,PASSED
click,IE 10.0,,2018-10-11 11:22:06,2018-10-11 11:22:06,0.148s,PASSED
click,IE 10.0,,2018-10-11 11:22:06,2018-10-11 11:22:07,0.258s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 11:22:07,2018-10-11 11:22:07,0.034s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 11:22:07,2018-10-11 11:22:12,5.579s,PASSED
click,IE 10.0,,2018-10-11 11:22:07,2018-10-11 11:22:07,0.139s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 11:22:07,2018-10-11 11:22:10,3.056s,PASSED
click,IE 10.0,,2018-10-11 11:22:10,2018-10-11 11:22:10,0.220s,PASSED
click,IE 10.0,,2018-10-11 11:22:10,2018-10-11 11:22:11,0.630s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 11:22:11,2018-10-11 11:22:12,1.191s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 11:22:12,2018-10-11 11:22:12,0.006s,PASSED
