Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_05_BNI_Virtual_Acc,IE 10.0,,2018-10-11 11:34:06,2018-10-11 11:34:33,26.709s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 11:34:07,2018-10-11 11:34:15,8.717s,PASSED
openBrowser,IE 10.0,,2018-10-11 11:34:07,2018-10-11 11:34:12,5.349s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 11:34:12,2018-10-11 11:34:14,1.191s,PASSED
setText,IE 10.0,,2018-10-11 11:34:14,2018-10-11 11:34:14,0.260s,PASSED
setText,IE 10.0,,2018-10-11 11:34:14,2018-10-11 11:34:14,0.197s,PASSED
click,IE 10.0,,2018-10-11 11:34:14,2018-10-11 11:34:15,1.341s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 11:34:15,2018-10-11 11:34:26,10.594s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 11:34:16,2018-10-11 11:34:22,6.201s,PASSED
delay,IE 10.0,,2018-10-11 11:34:22,2018-10-11 11:34:24,2.054s,PASSED
click,IE 10.0,,2018-10-11 11:34:24,2018-10-11 11:34:24,0.208s,PASSED
click,IE 10.0,,2018-10-11 11:34:24,2018-10-11 11:34:26,1.765s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_05_Digital_BNI_Virtual_Account,IE 10.0,,2018-10-11 11:34:26,2018-10-11 11:34:27,0.768s,PASSED
click,IE 10.0,,2018-10-11 11:34:26,2018-10-11 11:34:26,0.169s,PASSED
click,IE 10.0,,2018-10-11 11:34:26,2018-10-11 11:34:27,0.261s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 11:34:27,2018-10-11 11:34:27,0.038s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 11:34:27,2018-10-11 11:34:32,5.371s,PASSED
click,IE 10.0,,2018-10-11 11:34:27,2018-10-11 11:34:27,0.146s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 11:34:27,2018-10-11 11:34:30,2.973s,PASSED
click,IE 10.0,,2018-10-11 11:34:30,2018-10-11 11:34:30,0.161s,PASSED
click,IE 10.0,,2018-10-11 11:34:30,2018-10-11 11:34:31,0.832s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 11:34:31,2018-10-11 11:34:32,0.850s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 11:34:32,2018-10-11 11:34:32,0.014s,PASSED
