Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_08_BNI_sms_payment,IE 10.0,,2018-10-11 13:16:11,2018-10-11 13:17:08,57.315s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 13:16:11,2018-10-11 13:16:19,8.058s,PASSED
openBrowser,IE 10.0,,2018-10-11 13:16:11,2018-10-11 13:16:17,5.180s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 13:16:17,2018-10-11 13:16:18,1.175s,PASSED
setText,IE 10.0,,2018-10-11 13:16:18,2018-10-11 13:16:18,0.205s,PASSED
setText,IE 10.0,,2018-10-11 13:16:18,2018-10-11 13:16:18,0.152s,PASSED
click,IE 10.0,,2018-10-11 13:16:18,2018-10-11 13:16:19,1.001s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 13:16:19,2018-10-11 13:16:26,6.794s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 13:16:20,2018-10-11 13:16:22,2.894s,PASSED
delay,IE 10.0,,2018-10-11 13:16:22,2018-10-11 13:16:24,2.029s,PASSED
click,IE 10.0,,2018-10-11 13:16:24,2018-10-11 13:16:25,0.106s,PASSED
click,IE 10.0,,2018-10-11 13:16:25,2018-10-11 13:16:26,1.383s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_08_Digital_BNI_Sms_payment,IE 10.0,,2018-10-11 13:16:26,2018-10-11 13:16:59,32.814s,FAILED
click,IE 10.0,,2018-10-11 13:16:26,2018-10-11 13:16:26,0.146s,PASSED
click,IE 10.0,,2018-10-11 13:16:26,2018-10-11 13:16:59,32.425s,FAILED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 13:16:59,2018-10-11 13:17:07,8.594s,FAILED
click,IE 10.0,,2018-10-11 13:16:59,2018-10-11 13:17:07,8.051s,FAILED
