Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_10_BRI_E-pay,IE 10.0,,2018-10-11 13:41:17,2018-10-11 13:41:42,24.907s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 13:41:18,2018-10-11 13:41:26,8.263s,PASSED
openBrowser,IE 10.0,,2018-10-11 13:41:18,2018-10-11 13:41:23,5.168s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 13:41:23,2018-10-11 13:41:25,1.164s,PASSED
setText,IE 10.0,,2018-10-11 13:41:25,2018-10-11 13:41:25,0.240s,PASSED
setText,IE 10.0,,2018-10-11 13:41:25,2018-10-11 13:41:25,0.201s,PASSED
click,IE 10.0,,2018-10-11 13:41:25,2018-10-11 13:41:26,1.115s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 13:41:26,2018-10-11 13:41:35,9.057s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 13:41:27,2018-10-11 13:41:32,4.649s,PASSED
delay,IE 10.0,,2018-10-11 13:41:32,2018-10-11 13:41:34,2.033s,PASSED
click,IE 10.0,,2018-10-11 13:41:34,2018-10-11 13:41:34,0.157s,PASSED
click,IE 10.0,,2018-10-11 13:41:34,2018-10-11 13:41:35,1.511s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_10_Digital_BRI_E-pay,IE 10.0,,2018-10-11 13:41:35,2018-10-11 13:41:36,0.766s,PASSED
click,IE 10.0,,2018-10-11 13:41:35,2018-10-11 13:41:36,0.182s,PASSED
click,IE 10.0,,2018-10-11 13:41:36,2018-10-11 13:41:36,0.279s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 13:41:36,2018-10-11 13:41:36,0.039s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 13:41:36,2018-10-11 13:41:42,5.562s,PASSED
click,IE 10.0,,2018-10-11 13:41:36,2018-10-11 13:41:37,0.163s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 13:41:37,2018-10-11 13:41:40,3.040s,PASSED
click,IE 10.0,,2018-10-11 13:41:40,2018-10-11 13:41:40,0.183s,PASSED
click,IE 10.0,,2018-10-11 13:41:40,2018-10-11 13:41:40,0.671s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 13:41:40,2018-10-11 13:41:42,1.158s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 13:41:42,2018-10-11 13:41:42,0.002s,PASSED
