Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_13_BTN_Bank_transfer,IE 10.0,,2018-10-11 14:09:23,2018-10-11 14:09:48,24.848s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 14:09:24,2018-10-11 14:09:32,8.256s,PASSED
openBrowser,IE 10.0,,2018-10-11 14:09:24,2018-10-11 14:09:30,5.283s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 14:09:30,2018-10-11 14:09:31,1.174s,PASSED
setText,IE 10.0,,2018-10-11 14:09:31,2018-10-11 14:09:31,0.229s,PASSED
setText,IE 10.0,,2018-10-11 14:09:31,2018-10-11 14:09:31,0.154s,PASSED
click,IE 10.0,,2018-10-11 14:09:31,2018-10-11 14:09:32,1.023s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 14:09:32,2018-10-11 14:09:41,8.567s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 14:09:32,2018-10-11 14:09:37,4.427s,PASSED
delay,IE 10.0,,2018-10-11 14:09:37,2018-10-11 14:09:39,2.032s,PASSED
click,IE 10.0,,2018-10-11 14:09:39,2018-10-11 14:09:39,0.155s,PASSED
click,IE 10.0,,2018-10-11 14:09:39,2018-10-11 14:09:41,1.574s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_13_Digital_BTN_Bank_transfer,IE 10.0,,2018-10-11 14:09:41,2018-10-11 14:09:41,0.762s,PASSED
click,IE 10.0,,2018-10-11 14:09:41,2018-10-11 14:09:41,0.163s,PASSED
click,IE 10.0,,2018-10-11 14:09:41,2018-10-11 14:09:41,0.346s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 14:09:41,2018-10-11 14:09:41,0.042s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 14:09:41,2018-10-11 14:09:47,5.971s,PASSED
click,IE 10.0,,2018-10-11 14:09:42,2018-10-11 14:09:42,0.220s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 14:09:42,2018-10-11 14:09:45,3.208s,PASSED
click,IE 10.0,,2018-10-11 14:09:45,2018-10-11 14:09:46,0.219s,PASSED
click,IE 10.0,,2018-10-11 14:09:46,2018-10-11 14:09:46,0.637s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 14:09:46,2018-10-11 14:09:47,1.151s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 14:09:47,2018-10-11 14:09:47,0.013s,PASSED
