Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_15_BTN_Kartu_kredit,IE 10.0,,2018-10-11 14:11:28,2018-10-11 14:11:38,9.493s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 14:11:29,2018-10-11 14:11:36,7.278s,PASSED
openBrowser,IE 10.0,,2018-10-11 14:11:29,2018-10-11 14:11:34,4.802s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 14:11:34,2018-10-11 14:11:35,1.192s,PASSED
setText,IE 10.0,,2018-10-11 14:11:35,2018-10-11 14:11:36,0.333s,PASSED
setText,IE 10.0,,2018-10-11 14:11:36,2018-10-11 14:11:36,0.169s,PASSED
click,IE 10.0,,2018-10-11 14:11:36,2018-10-11 14:11:36,0.408s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 14:11:36,2018-10-11 14:11:37,0.424s,FAILED
navigateToUrl,IE 10.0,,2018-10-11 14:11:37,2018-10-11 14:11:37,0.068s,FAILED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_15_Digital_BTN_Kartu_kredit,IE 10.0,,2018-10-11 14:11:37,2018-10-11 14:11:37,0.269s,FAILED
click,IE 10.0,,2018-10-11 14:11:37,2018-10-11 14:11:37,0.021s,FAILED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 14:11:37,2018-10-11 14:11:37,0.286s,FAILED
click,IE 10.0,,2018-10-11 14:11:37,2018-10-11 14:11:37,0.019s,FAILED
