Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_16_BCA_KlikBCA,IE 10.0,,2018-10-11 14:41:39,2018-10-11 14:41:48,9.046s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 14:41:40,2018-10-11 14:41:47,7.027s,PASSED
openBrowser,IE 10.0,,2018-10-11 14:41:40,2018-10-11 14:41:45,4.764s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 14:41:45,2018-10-11 14:41:46,1.181s,PASSED
setText,IE 10.0,,2018-10-11 14:41:46,2018-10-11 14:41:46,0.247s,PASSED
setText,IE 10.0,,2018-10-11 14:41:46,2018-10-11 14:41:46,0.158s,PASSED
click,IE 10.0,,2018-10-11 14:41:46,2018-10-11 14:41:47,0.363s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.277s,FAILED
navigateToUrl,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.049s,FAILED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_16_Digital_BCA_KlikBCA,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.242s,FAILED
click,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.023s,FAILED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.261s,FAILED
click,IE 10.0,,2018-10-11 14:41:47,2018-10-11 14:41:47,0.020s,FAILED
