Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_24_T-money,IE 10.0,,2018-10-11 15:40:00,2018-10-11 15:40:24,24.081s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-11 15:40:01,2018-10-11 15:40:10,9.233s,PASSED
openBrowser,IE 10.0,,2018-10-11 15:40:01,2018-10-11 15:40:07,5.225s,PASSED
maximizeWindow,IE 10.0,,2018-10-11 15:40:07,2018-10-11 15:40:08,1.168s,PASSED
setText,IE 10.0,,2018-10-11 15:40:08,2018-10-11 15:40:08,0.220s,PASSED
setText,IE 10.0,,2018-10-11 15:40:08,2018-10-11 15:40:08,0.172s,PASSED
delay,IE 10.0,,2018-10-11 15:40:08,2018-10-11 15:40:09,1.024s,PASSED
click,IE 10.0,,2018-10-11 15:40:09,2018-10-11 15:40:10,1.026s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-11 15:40:10,2018-10-11 15:40:18,7.799s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 15:40:11,2018-10-11 15:40:14,3.866s,PASSED
delay,IE 10.0,,2018-10-11 15:40:14,2018-10-11 15:40:16,2.005s,PASSED
click,IE 10.0,,2018-10-11 15:40:16,2018-10-11 15:40:17,0.115s,PASSED
click,IE 10.0,,2018-10-11 15:40:17,2018-10-11 15:40:18,1.364s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_24_Digital_T-money,IE 10.0,,2018-10-11 15:40:18,2018-10-11 15:40:19,0.553s,PASSED
click,IE 10.0,,2018-10-11 15:40:18,2018-10-11 15:40:18,0.242s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 15:40:18,2018-10-11 15:40:19,0.055s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-11 15:40:19,2018-10-11 15:40:24,5.152s,PASSED
click,IE 10.0,,2018-10-11 15:40:19,2018-10-11 15:40:19,0.179s,PASSED
navigateToUrl,IE 10.0,,2018-10-11 15:40:19,2018-10-11 15:40:22,2.655s,PASSED
click,IE 10.0,,2018-10-11 15:40:22,2018-10-11 15:40:22,0.215s,PASSED
click,IE 10.0,,2018-10-11 15:40:22,2018-10-11 15:40:23,0.550s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-11 15:40:23,2018-10-11 15:40:24,1.143s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-11 15:40:24,2018-10-11 15:40:24,0.020s,PASSED
