Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_25_Indomaret,IE 10.0,,2018-10-12 16:36:11,2018-10-12 16:36:35,24.049s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-12 16:36:11,2018-10-12 16:36:20,8.956s,PASSED
openBrowser,IE 10.0,,2018-10-12 16:36:12,2018-10-12 16:36:16,4.876s,PASSED
maximizeWindow,IE 10.0,,2018-10-12 16:36:16,2018-10-12 16:36:18,1.198s,PASSED
setText,IE 10.0,,2018-10-12 16:36:18,2018-10-12 16:36:18,0.233s,PASSED
setText,IE 10.0,,2018-10-12 16:36:18,2018-10-12 16:36:18,0.189s,PASSED
delay,IE 10.0,,2018-10-12 16:36:18,2018-10-12 16:36:19,1.031s,PASSED
click,IE 10.0,,2018-10-12 16:36:19,2018-10-12 16:36:20,1.023s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-12 16:36:20,2018-10-12 16:36:29,8.933s,PASSED
navigateToUrl,IE 10.0,,2018-10-12 16:36:20,2018-10-12 16:36:25,4.742s,PASSED
delay,IE 10.0,,2018-10-12 16:36:25,2018-10-12 16:36:27,2.005s,PASSED
click,IE 10.0,,2018-10-12 16:36:27,2018-10-12 16:36:27,0.138s,PASSED
click,IE 10.0,,2018-10-12 16:36:27,2018-10-12 16:36:29,1.683s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_25_Digital_Indomaret,IE 10.0,,2018-10-12 16:36:29,2018-10-12 16:36:30,0.646s,FAILED
click,IE 10.0,,2018-10-12 16:36:29,2018-10-12 16:36:30,0.408s,FAILED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-12 16:36:30,2018-10-12 16:36:35,5.071s,PASSED
click,IE 10.0,,2018-10-12 16:36:30,2018-10-12 16:36:30,0.127s,PASSED
navigateToUrl,IE 10.0,,2018-10-12 16:36:30,2018-10-12 16:36:33,2.678s,PASSED
click,IE 10.0,,2018-10-12 16:36:33,2018-10-12 16:36:33,0.216s,PASSED
click,IE 10.0,,2018-10-12 16:36:33,2018-10-12 16:36:34,0.599s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-12 16:36:34,2018-10-12 16:36:35,1.171s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-12 16:36:35,2018-10-12 16:36:35,0.033s,PASSED
