Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_27_pegadaian,IE 10.0,,2018-10-12 16:42:41,2018-10-12 16:43:05,24.451s,PASSED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-12 16:42:41,2018-10-12 16:42:51,10.111s,PASSED
openBrowser,IE 10.0,,2018-10-12 16:42:42,2018-10-12 16:42:48,6.275s,PASSED
maximizeWindow,IE 10.0,,2018-10-12 16:42:48,2018-10-12 16:42:49,1.178s,PASSED
setText,IE 10.0,,2018-10-12 16:42:49,2018-10-12 16:42:49,0.182s,PASSED
setText,IE 10.0,,2018-10-12 16:42:49,2018-10-12 16:42:49,0.127s,PASSED
delay,IE 10.0,,2018-10-12 16:42:49,2018-10-12 16:42:50,1.021s,PASSED
click,IE 10.0,,2018-10-12 16:42:50,2018-10-12 16:42:51,0.985s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-12 16:42:51,2018-10-12 16:42:59,7.292s,PASSED
navigateToUrl,IE 10.0,,2018-10-12 16:42:52,2018-10-12 16:42:54,2.265s,PASSED
delay,IE 10.0,,2018-10-12 16:42:54,2018-10-12 16:42:56,2.006s,PASSED
click,IE 10.0,,2018-10-12 16:42:56,2018-10-12 16:42:56,0.150s,PASSED
click,IE 10.0,,2018-10-12 16:42:56,2018-10-12 16:42:59,2.355s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_27_Digital_pegadaian,IE 10.0,,2018-10-12 16:42:59,2018-10-12 16:42:59,0.671s,PASSED
click,IE 10.0,,2018-10-12 16:42:59,2018-10-12 16:42:59,0.103s,PASSED
click,IE 10.0,,2018-10-12 16:42:59,2018-10-12 16:42:59,0.296s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-12 16:42:59,2018-10-12 16:42:59,0.033s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-12 16:42:59,2018-10-12 16:43:04,5.130s,PASSED
click,IE 10.0,,2018-10-12 16:43:00,2018-10-12 16:43:00,0.132s,PASSED
navigateToUrl,IE 10.0,,2018-10-12 16:43:00,2018-10-12 16:43:03,2.778s,PASSED
click,IE 10.0,,2018-10-12 16:43:03,2018-10-12 16:43:03,0.134s,PASSED
click,IE 10.0,,2018-10-12 16:43:03,2018-10-12 16:43:03,0.583s,PASSED
"Statement - orderNumber = ""- "" + com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(No_order))",IE 10.0,,2018-10-12 16:43:03,2018-10-12 16:43:04,1.156s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-12 16:43:04,2018-10-12 16:43:04,0.010s,PASSED
