Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_29_Kartu_kredit_cicilan,IE 10.0,,2018-10-15 10:47:25,2018-10-15 10:47:48,23.185s,FAILED
,,,,,,
Test Cases/TC_01_Member_Login/TC_MOBILE_LOGIN,IE 10.0,,2018-10-15 10:47:25,2018-10-15 10:47:35,10.156s,PASSED
openBrowser,IE 10.0,,2018-10-15 10:47:26,2018-10-15 10:47:31,5.645s,PASSED
maximizeWindow,IE 10.0,,2018-10-15 10:47:31,2018-10-15 10:47:33,1.216s,PASSED
setText,IE 10.0,,2018-10-15 10:47:33,2018-10-15 10:47:33,0.421s,PASSED
setText,IE 10.0,,2018-10-15 10:47:33,2018-10-15 10:47:33,0.296s,PASSED
delay,IE 10.0,,2018-10-15 10:47:33,2018-10-15 10:47:34,1.034s,PASSED
click,IE 10.0,,2018-10-15 10:47:34,2018-10-15 10:47:35,1.068s,PASSED
,,,,,,
Test Cases/TC_02_PDP/TC_PDP_digital,IE 10.0,,2018-10-15 10:47:35,2018-10-15 10:47:45,9.307s,PASSED
navigateToUrl,IE 10.0,,2018-10-15 10:47:36,2018-10-15 10:47:41,4.855s,PASSED
delay,IE 10.0,,2018-10-15 10:47:41,2018-10-15 10:47:43,2.008s,PASSED
click,IE 10.0,,2018-10-15 10:47:43,2018-10-15 10:47:43,0.174s,PASSED
click,IE 10.0,,2018-10-15 10:47:43,2018-10-15 10:47:45,1.834s,PASSED
,,,,,,
Test Cases/TC_03_Trade/Choose Payment Method/TC_29_Digital_Kartu_Kredit_Cicilan,IE 10.0,,2018-10-15 10:47:45,2018-10-15 10:47:46,1.084s,PASSED
click,IE 10.0,,2018-10-15 10:47:45,2018-10-15 10:47:45,0.295s,PASSED
selectOptionByIndex,IE 10.0,,2018-10-15 10:47:45,2018-10-15 10:47:46,0.373s,PASSED
blj.common.report.Autoplaced.AppendToBlanjaAutoplacedReport,IE 10.0,,2018-10-15 10:47:46,2018-10-15 10:47:46,0.129s,PASSED
,,,,,,
Test Cases/TC_03_Trade/TC_Click_Button_Order_and_get_order_number,IE 10.0,,2018-10-15 10:47:46,2018-10-15 10:47:47,1.145s,FAILED
click,IE 10.0,,2018-10-15 10:47:46,2018-10-15 10:47:47,0.623s,FAILED
