Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tes,Chrome 65.0.3302.0,,2018-10-10 14:59:59,2018-10-10 15:01:17,1m - 18.009s,FAILED
,,,,,,
Test Cases/TC_MOBILE_LOGIN,Chrome 65.0.3302.0,,2018-10-10 14:59:59,2018-10-10 15:00:09,10.292s,PASSED
openBrowser,Chrome 65.0.3302.0,,2018-10-10 14:59:59,2018-10-10 15:00:04,5.063s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-10 15:00:04,2018-10-10 15:00:05,0.333s,PASSED
setText,Chrome 65.0.3302.0,,2018-10-10 15:00:05,2018-10-10 15:00:05,0.218s,PASSED
click,Chrome 65.0.3302.0,,2018-10-10 15:00:05,2018-10-10 15:00:09,4.306s,PASSED
,,,,,,
Test Cases/TC_PDP_digital,Chrome 65.0.3302.0,,2018-10-10 15:00:09,2018-10-10 15:01:16,1m - 6.493s,FAILED
navigateToUrl,Chrome 65.0.3302.0,,2018-10-10 15:00:10,2018-10-10 15:00:11,1.376s,PASSED
waitForElementClickable,Chrome 65.0.3302.0,,2018-10-10 15:00:11,2018-10-10 15:00:11,0.108s,PASSED
click,Chrome 65.0.3302.0,,2018-10-10 15:00:11,2018-10-10 15:00:11,0.125s,PASSED
waitForElementPresent,Chrome 65.0.3302.0,,2018-10-10 15:00:11,2018-10-10 15:00:43,31.972s,PASSED
click,Chrome 65.0.3302.0,,2018-10-10 15:00:43,2018-10-10 15:01:16,32.636s,FAILED
